name,all_snps,apobec_snps,non_apobec_snps,date,year,precision,omit,new
NC_063383|MPXV-M5312_HM12_Rivers|Nigeria_Rivers_State|2018-08,32,13,19,2018-08-16,2018.621918,month,FALSE,FALSE
ON674051|FL001|USA|2022-05-22,60,33,27,2022-05-22,2022.386301,day,FALSE,FALSE
ON675438|VA001|USA|2022-05-27,65,39,26,2022-05-27,2022.4,day,FALSE,FALSE
OP331335|9000155|UK_ex|2022-06-03,62,36,26,2022-06-03,2022.419178,day,FALSE,FALSE
OP331336|9000166|UK_ex|2022-06-29,72,43,29,2022-06-29,2022.490411,day,FALSE,FALSE
OP535312|MPXV_Nigeria_2018_5222|Nigeria|Rivers|2018-02,34,15,19,2018-02-16,2018.126027,month,TRUE,TRUE
OP535313|MPXV_Nigeria_2018_5221|Nigeria|Nigeria|2018-01,43,17,26,2018-01-16,2018.041096,month,TRUE,TRUE
OP535314|MPXV_Nigeria_2018_5220|Nigeria|Rivers|2018-01,39,15,24,2018-01-16,2018.041096,month,TRUE,TRUE
OP535315|MPXV_Nigeria_2018_5219|Nigeria|Imo|2018-02,40,15,25,2018-02-16,2018.126027,month,TRUE,TRUE
OP535316|MPXV_Nigeria_2018_5218|Nigeria|Imo|2018-02,39,14,25,2018-02-16,2018.126027,month,TRUE,TRUE
OP535317|MPXV_Nigeria_2018_5194|Nigeria|Lagos|2018-01,49,11,38,2018-01-16,2018.041096,month,TRUE,TRUE
OP535318|MPXV_Nigeria_2017_5227|Nigeria|Benue|2017-12,33,14,19,2017-12-16,2017.956164,month,TRUE,TRUE
OP535319|MPXV_Nigeria_2017_5205|Nigeria|Cross_River|2017-12,49,17,32,2017-12-16,2017.956164,month,TRUE,TRUE
OP535320|MPXV_Nigeria_2017_3008|Nigeria|Abia|2017-11,34,15,19,2017-11-16,2017.873973,month,TRUE,TRUE
OP535321|MPXV_Nigeria_2017_2979|Nigeria|Niger|2017-10,36,17,19,2017-10-16,2017.789041,month,TRUE,TRUE
OP535323|MPXV_Nigeria_2017_2948|Nigeria|Bayelsa|2017-10,42,22,20,2017-10-16,2017.789041,month,TRUE,TRUE
OP535324|MPXV_Nigeria_2018_5302|Nigeria|Imo|2018-02,36,14,22,2018-02-16,2018.126027,month,TRUE,TRUE
OP535325|MPXV_Nigeria_2018_5316|Nigeria|Nigeria|2018-06,36,14,22,2018-06-16,2018.454795,month,TRUE,TRUE
OP535326|MPXV_Nigeria_2018_5315|Nigeria|Oyo|2018-06,35,15,20,2018-06-16,2018.454795,month,TRUE,TRUE
OP535327|MPXV_Nigeria_2018_5307|Nigeria|Rivers|2018-03,34,14,20,2018-03-16,2018.20274,month,TRUE,TRUE
OP535328|MPXV_Nigeria_2018_5306|Nigeria|Rivers|2018-03,33,14,19,2018-03-16,2018.20274,month,TRUE,TRUE
OP535329|MPXV_Nigeria_2018_5305|Nigeria|Rivers|2018-03,33,14,19,2018-03-16,2018.20274,month,TRUE,TRUE
OP535330|MPXV_Nigeria_2018_5301|Nigeria|Imo|2018-02,35,13,22,2018-02-16,2018.126027,month,TRUE,TRUE
OP535331|MPXV_Nigeria_2018_5300|Nigeria|Oyo|2018-01,31,12,19,2018-01-16,2018.041096,month,TRUE,TRUE
OP535332|MPXV_Nigeria_2018_5232|Nigeria|Oyo|2018-01,31,12,19,2018-01-16,2018.041096,month,TRUE,TRUE
OP535333|MPXV_Nigeria_2018_5231|Nigeria|Oyo|2018-01,34,12,22,2018-01-16,2018.041096,month,TRUE,TRUE
OP535334|MPXV_Nigeria_2018_5223|Nigeria|Rivers|2018-02,34,15,19,2018-02-16,2018.126027,month,TRUE,TRUE
OP535335|MPXV_Nigeria_2017_2947|Nigeria|Bayelsa|2017-10,42,22,20,2017-10-16,2017.789041,month,TRUE,TRUE
OP535336|MPXV_Nigeria_2017_2946|Nigeria|Enugu|2017-10,35,16,19,2017-10-16,2017.789041,month,TRUE,TRUE
OP535338|MPXV_Nigeria_2017_2944|Nigeria|Akwa_Ibom|2017-10,36,16,20,2017-10-16,2017.789041,month,TRUE,TRUE
OP535339|MPXV_Nigeria_2017_2915|Nigeria|Enugu|2017-10,34,15,19,2017-10-16,2017.789041,month,TRUE,TRUE
OP535340|MPXV_Nigeria_2017_2888|Nigeria|Akwa_Ibom|2017-10,31,12,19,2017-10-16,2017.789041,month,TRUE,TRUE
OP535341|MPXV_Nigeria_2017_2886|Nigeria|Bayelsa|2017-10,34,15,19,2017-10-16,2017.789041,month,TRUE,TRUE
OP612674|MPXV/003/19|Nigeria|2019-01-16,45,24,21,2019-01-16,2019.041096,day,FALSE,FALSE
OP612675|MPXV/007/19|Nigeria|2019-02-03,39,18,21,2019-02-03,2019.090411,day,FALSE,FALSE
OP612676|MPXV/013/19|Nigeria|2019-02-26,37,17,20,2019-02-26,2019.153425,day,FALSE,FALSE
OP612677|MPXV/015/19|Nigeria|2019-03-14,49,29,20,2019-03-14,2019.19726,day,FALSE,FALSE
OP612678|MPXV/017/19|Nigeria|2019-03-19,40,19,21,2019-03-19,2019.210959,day,FALSE,FALSE
OP612679|MPXV/018/19|Nigeria|2019-03-18,49,29,20,2019-03-18,2019.208219,day,FALSE,FALSE
OP612680|MPXV/021/19|Nigeria|2019-04-03,39,19,20,2019-04-03,2019.252055,day,FALSE,FALSE
OP612683|MPXV/042/19|Nigeria|2019-04-29,43,22,21,2019-04-29,2019.323288,day,FALSE,FALSE
OP612684|MPXV/046/19|Nigeria|2019-05-13,40,21,19,2019-05-13,2019.361644,day,FALSE,FALSE
OP612685|MPXV/052/19|Nigeria|2019-06-08,42,22,20,2019-06-08,2019.432877,day,FALSE,FALSE
OP612689|MPXV/111/19|Nigeria|2019-12-19,44,21,23,2019-12-19,2019.964384,day,FALSE,FALSE
OP612690|MPXV/113/19|Nigeria|2019-12-20,43,20,23,2019-12-20,2019.967123,day,FALSE,FALSE
OP612691|MPXV/191/20|Nigeria|2020-01-23,48,24,24,2020-01-23,2020.060109,day,FALSE,FALSE
MG693724|MPXV_Nig_2017_298464|Nigeria|2017,32,11,21,2017,2017.5,year,FALSE,FALSE
MT250197|Singapore_2019|Singapore_ex_Nigeria|2019-05-08,38,22,16,2019-05-08,2019.347945,day,FALSE,FALSE
OL504741|2091|UK_ex_Nigeria|2019-12-03,47,27,20,2019-12-03,2019.920548,day,FALSE,FALSE
MT903341|MPXV-M5320_M15_Bayelsa|Nigeria_Bayelsa_State|2018-08-14,39,21,18,2018-08-14,2018.616438,day,FALSE,FALSE
KJ642617|Nigeria-SE-1971|Nigeria_Abie_State|1971-04-14,7,0,7,1971-04-14,1971.282192,day,TRUE,FALSE
KJ642615|W-Nigeria|Nigeria|1978,1,0,1,1978,1978.5,year,TRUE,FALSE
